Hand name,Company name,Link to hand page,# of Fingers,# of Actuators,Photo filename,Text description,Date updated,Notes
Shadow Dexterous Hands,Shadow Robot,https://www.shadowrobot.com/dexterous-hand-series/,5,20,shadow-dexterous-hand.png,20 brushed DC motors. Tendon-driven. Shadow Tactile Sensing (STF) with magnets and 3-axis Hall effect sensors on index and thumb (default). Motors stored in the hand base; tendons prone to wear with extensive use. Full ROS integration.,Nov 2025,"Given that we have it, is it backdrivable?"
DEX-EE,Shadow Robot,https://www.shadowrobot.com/dex-ee/,3,15,shadow_dex_ee.jpg,15 DC motors. Tendon-driven. Distal tactile sensors (magnets and 3-axis Hall effect) with optional middle and proximal sensors. Modular finger and sensor design; motors stored in finger bases. Backdrivable. Full ROS integration.,Nov 2025,
XHand1,RobotEra,https://www.robotera.com/en/goods1/4.html,5,12,xhand1.png,"12 motors. Quasi-Direct Drive (QDD). Tactile arrays (>100 points) on each finger. Thumb can be repositioned to pinky location for enhanced grip. Backdrivable. Supports Linux, SDK, and ROS.",Nov 2025,
Allegro Hand V5(4F Plus),Wonik Robotics,https://www.allegrohand.com/v5-4fplus,4,16,allegrohand_v5.jpeg,16 DC motors. Gear-driven. Omnidirectional capacitive pressure-sensitive tactile sensors. Interchangeable fingertips for specialized grips. ROS support.,Nov 2025,
Allegro Hand V4,Wonik Robotics,https://www.allegrohand.com/v4,4,16,allegrohand_v4.png,"16 DC motors. Gear-driven. No built-in tactile sensing. Widely used for dexterity research. Supports Linux, Windows, and ROS.",Nov 2025,"Given that we have it, is it backdrivable?"
SVH,Schunk,https://schunk.com/us/en/gripping-systems/special-gripper/svh/c/PGR_3161,5,9,SVH.png,9 DC motors. Gear-driven (and spindle drives). No built-in tactile sensing. Features elastic gripping surfaces; power and control electronics integrated in the wrist. Supports ROS and Raspberry Pi.,Nov 2025,Mentions nine drive motors in the operating manual. The function page says there is a servo motor connected to a spindle.
Ability Hand,Psyonic,https://www.psyonic.io/robots,5,6,abilityhand.png,6 brushless DC motors. Gear-driven. Tactile sensing via a flexible PCB and three barometric pressure sensors cast in silicone. Used in prosthesis and robotics; utilizes lightweight carbon fiber.,Nov 2025,
ProHand 1.0,Proception AI,https://www.proception.ai/hand,5,?,prohand.png,Unspecified number and type of actuators. Tendon-driven. Tactile sensing (type unspecified). The specifications are not finalized; planned to release in 2028.,Nov 2025,
DM-Hand1,Daimon Robotics,https://www.dmrobot.com/en/products/p2/dm-hand1.html,5,6,dmhand1.png,6 DC motors. Gear-driven. Vision-based tactile sensors. The thin sensor profile reduces finger thickness and improves flexibility.,Nov 2025,
COVVI Robotic Hand,Covvi,https://www.covvi-robotics.com/robotic-hand/,5,6,covvirobotichand.png,6 actuators (unspecified). Gear-driven. Force Sensing Resistor (FSR) in all fingertips. The index finger is touchscreen compatible and features a serrated fingertip texture for improved grip. Adapted from COVVI Prosthetic Hand. Compatible with ROS2 and Python ECI API.,Nov 2025,Actuator type not specified
IH2 Azzurra,Prensilia,https://www.prensilia.com/ih2-azzurra-hand/,5,5,ih2azzurra.png,5 brushed DC motors. Tendon-driven (with adjustable Bowden cable transmission). No built-in tactile sensing. Includes motor force/position sensors and optional tendon tension sensors.,Nov 2025,
